Pomegranate Blueberry Smoothie ,$6.00,16 EACH,240.69,40,10.83
Acai Bowl ,$7.25,1 BOWL,408.0,56,6.1
Apple Kale Smoothie ,$6.00,16 EACH,343.25,57,13.71
Strawberry Mango Smoothie ,$6.00,16 EACH,339.81,57,12.09
Bagel Bar with Smoked Salmon ,$6.95,1 EACH,688.0,99,35.1
Pomegranate Berry Spread ,$1.00,2 OZ,132.0,132,2.7
Lemon Caper Cream Cheese ,$1.00,2 OZ,155.0,155,3.5
Sundried Tomato & Spinach Spread ,$1.00,2 OZ,166.0,166,3.7
Sweet Chipotle Spread ,$1.00,2 OZ,171.0,171,3.5
Nutella Gone Bananas Spread ,$1.00,2 OZ,185.0,185,3.1
